/api/admin/account-lookup | plain | DELETE | admin-spa = deny
/api/admin/feature-flags/{key} | key | DELETE | dcr-client = deny
/api/admin/feature-flags/{key} | key | DELETE | empty-sub = deny
/api/admin/feature-flags/{key} | key | DELETE | github-oidc = deny
/api/admin/feature-flags/{key} | key | DELETE | oauth2-proxy = deny
/api/admin/feature-flags/{key} | key | DELETE | per-key-other-ns = deny
/api/admin/feature-flags/{key} | key | DELETE | per-key-owned-ns = deny
/api/admin/feature-flags/{key} | key | DELETE | spa = deny
/api/admin/feature-flags/{key} | key | DELETE | user-key = deny
/api/admin/feature-flags/{key} | key | DELETE | user-key-verified = deny
/api/admin/feature-flags/{key} | key | GET | admin-spa = allow
/api/admin/feature-flags/{key} | key | GET | cua-cli = deny
/api/admin/feature-flags/{key} | key | GET | dcr-client = deny
/api/admin/feature-flags/{key} | key | GET | empty-sub = deny
/api/admin/feature-flags/{key} | key | GET | github-oidc = deny
/api/admin/feature-flags/{key} | key | GET | oauth2-proxy = deny
/api/admin/feature-flags/{key} | key | GET | per-key-other-ns = deny
/api/admin/feature-flags/{key} | key | GET | per-key-owned-ns = deny
/api/admin/feature-flags/{key} | key | GET | spa = deny
/api/admin/feature-flags/{key} | key | GET | user-key = deny
/api/admin/feature-flags/{key} | key | GET | user-key-verified = deny
/api/admin/feature-flags/{key} | key | PATCH | admin-spa = allow
/api/admin/feature-flags/{key} | key | PATCH | cua-cli = deny
/api/admin/feature-flags/{key} | key | PATCH | dcr-client = deny
/api/admin/feature-flags/{key} | key | PATCH | empty-sub = deny
/api/admin/feature-flags/{key} | key | PATCH | github-oidc = deny
/api/admin/feature-flags/{key} | key | PATCH | oauth2-proxy = deny
/api/admin/feature-flags/{key} | key | PATCH | per-key-other-ns = deny
/api/admin/feature-flags/{key} | key | PATCH | per-key-owned-ns = deny
/api/admin/feature-flags/{key} | key | PATCH | spa = deny
/api/admin/feature-flags/{key} | key | PATCH | user-key = deny
/api/admin/feature-flags/{key} | key | PATCH | user-key-verified = deny
/api/admin/feature-flags/{key} | key | POST | admin-spa = allow
/api/admin/feature-flags/{key} | key | POST | cua-cli = deny
/api/admin/feature-flags/{key} | key | POST | dcr-client = deny
/api/admin/feature-flags/{key} | key | POST | empty-sub = deny
/api/admin/feature-flags/{key} | key | POST | github-oidc = deny
/api/admin/feature-flags/{key} | key | POST | oauth2-proxy = deny
/api/admin/feature-flags/{key} | key | POST | per-key-other-ns = deny
/api/admin/feature-flags/{key} | key | POST | per-key-owned-ns = deny
/api/admin/feature-flags/{key} | key | POST | spa = deny
/api/admin/feature-flags/{key} | key | POST | user-key = deny
/api/admin/feature-flags/{key} | key | POST | user-key-verified = deny
/api/admin/feature-flags/{key} | key | QUERY | admin-spa = allow
/api/admin/feature-flags/{key} | key | QUERY | cua-cli = deny
/api/admin/feature-flags/{key} | key | QUERY | dcr-client = deny
/api/admin/feature-flags/{key} | key | QUERY | empty-sub = deny
/api/admin/feature-flags/{key} | key | QUERY | github-oidc = deny
/api/admin/feature-flags/{key} | key | QUERY | oauth2-proxy = deny
/api/admin/feature-flags/{key} | key | QUERY | per-key-other-ns = deny
/api/admin/feature-flags/{key} | key | QUERY | per-key-owned-ns = deny
/api/admin/feature-flags/{key} | key | QUERY | spa = deny
/api/admin/feature-flags/{key} | key | QUERY | user-key = deny
/api/admin/feature-flags/{key} | key | QUERY | user-key-verified = deny
/api/analytics/attribution | plain | DELETE | admin-spa = deny
/api/analytics/attribution | plain | DELETE | cua-cli = deny
/api/analytics/attribution | plain | DELETE | dcr-client = deny
/api/analytics/attribution | plain | DELETE | empty-sub = deny
/api/analytics/attribution | plain | DELETE | github-oidc = deny
/api/analytics/attribution | plain | DELETE | oauth2-proxy = deny
/api/analytics/attribution | plain | DELETE | per-key-other-ns = deny
/api/analytics/attribution | plain | DELETE | per-key-owned-ns = deny
/api/analytics/attribution | plain | DELETE | spa = deny
/api/analytics/attribution | plain | DELETE | user-key = deny
/api/analytics/attribution | plain | DELETE | user-key-verified = deny
/api/analytics/attribution | plain | GET | admin-spa = deny
/api/analytics/attribution | plain | GET | cua-cli = deny
/api/analytics/attribution | plain | GET | dcr-client = deny
/api/analytics/attribution | plain | GET | empty-sub = deny
/api/analytics/attribution | plain | GET | github-oidc = deny
/api/analytics/attribution | plain | GET | oauth2-proxy = deny
/api/analytics/attribution | plain | GET | per-key-other-ns = deny
/api/analytics/attribution | plain | GET | per-key-owned-ns = deny
/api/analytics/attribution | plain | GET | spa = deny
/api/analytics/attribution | plain | GET | user-key = deny
/api/analytics/attribution | plain | GET | user-key-verified = deny
/api/analytics/attribution | plain | PATCH | admin-spa = deny
/api/analytics/attribution | plain | PATCH | cua-cli = deny
/api/analytics/attribution | plain | PATCH | dcr-client = deny
/api/analytics/attribution | plain | PATCH | empty-sub = deny
/api/analytics/attribution | plain | PATCH | github-oidc = deny
/api/analytics/attribution | plain | PATCH | oauth2-proxy = deny
/api/analytics/attribution | plain | PATCH | per-key-other-ns = deny
/api/analytics/attribution | plain | PATCH | per-key-owned-ns = deny
/api/analytics/attribution | plain | PATCH | spa = deny
/api/analytics/attribution | plain | PATCH | user-key = deny
/api/analytics/attribution | plain | PATCH | user-key-verified = deny
/api/analytics/attribution | plain | POST | admin-spa = allow
/api/analytics/attribution | plain | POST | cua-cli = deny
/api/analytics/attribution | plain | POST | dcr-client = deny
/api/analytics/attribution | plain | POST | empty-sub = deny
/api/analytics/attribution | plain | POST | github-oidc = deny
/api/analytics/attribution | plain | POST | oauth2-proxy = deny
/api/analytics/attribution | plain | POST | per-key-other-ns = deny
/api/analytics/attribution | plain | POST | per-key-owned-ns = deny
/api/analytics/attribution | plain | POST | spa = allow
/api/analytics/attribution | plain | POST | user-key = deny
/api/analytics/attribution | plain | POST | user-key-verified = deny
/api/analytics/attribution | plain | QUERY | admin-spa = deny
/api/analytics/attribution | plain | QUERY | cua-cli = deny
/api/analytics/attribution | plain | QUERY | dcr-client = deny
/api/analytics/attribution | plain | QUERY | empty-sub = deny
/api/analytics/attribution | plain | QUERY | github-oidc = deny
/api/analytics/attribution | plain | QUERY | oauth2-proxy = deny
/api/analytics/attribution | plain | QUERY | per-key-other-ns = deny
/api/analytics/attribution | plain | QUERY | per-key-owned-ns = deny
/api/analytics/attribution | plain | QUERY | spa = deny
/api/analytics/attribution | plain | QUERY | user-key = deny
/api/analytics/attribution | plain | QUERY | user-key-verified = deny
/api/analytics/payment-gate | plain | DELETE | admin-spa = deny
/api/analytics/payment-gate | plain | DELETE | cua-cli = deny
/api/analytics/payment-gate | plain | DELETE | dcr-client = deny
/api/analytics/payment-gate | plain | DELETE | empty-sub = deny
/api/analytics/payment-gate | plain | DELETE | github-oidc = deny
/api/analytics/payment-gate | plain | DELETE | oauth2-proxy = deny
/api/analytics/payment-gate | plain | DELETE | per-key-other-ns = deny
/api/analytics/payment-gate | plain | DELETE | per-key-owned-ns = deny
/api/analytics/payment-gate | plain | DELETE | spa = deny
/api/analytics/payment-gate | plain | DELETE | user-key = deny
/api/analytics/payment-gate | plain | DELETE | user-key-verified = deny
/api/analytics/payment-gate | plain | GET | admin-spa = deny
/api/analytics/payment-gate | plain | GET | cua-cli = deny
/api/analytics/payment-gate | plain | GET | dcr-client = deny
/api/analytics/payment-gate | plain | GET | empty-sub = deny
/api/analytics/payment-gate | plain | GET | github-oidc = deny
/api/analytics/payment-gate | plain | GET | oauth2-proxy = deny
/api/analytics/payment-gate | plain | GET | per-key-other-ns = deny
/api/analytics/payment-gate | plain | GET | per-key-owned-ns = deny
/api/analytics/payment-gate | plain | GET | spa = deny
/api/analytics/payment-gate | plain | GET | user-key = deny
/api/analytics/payment-gate | plain | GET | user-key-verified = deny
/api/analytics/payment-gate | plain | PATCH | admin-spa = deny
/api/analytics/payment-gate | plain | PATCH | cua-cli = deny
/api/analytics/payment-gate | plain | PATCH | dcr-client = deny
/api/analytics/payment-gate | plain | PATCH | empty-sub = deny
/api/analytics/payment-gate | plain | PATCH | github-oidc = deny
/api/analytics/payment-gate | plain | PATCH | oauth2-proxy = deny
/api/analytics/payment-gate | plain | PATCH | per-key-other-ns = deny
/api/analytics/payment-gate | plain | PATCH | per-key-owned-ns = deny
/api/analytics/payment-gate | plain | PATCH | spa = deny
/api/analytics/payment-gate | plain | PATCH | user-key = deny
/api/analytics/payment-gate | plain | PATCH | user-key-verified = deny
/api/analytics/payment-gate | plain | POST | admin-spa = allow
/api/analytics/payment-gate | plain | POST | cua-cli = deny
/api/analytics/payment-gate | plain | POST | dcr-client = deny
/api/analytics/payment-gate | plain | POST | empty-sub = deny
/api/analytics/payment-gate | plain | POST | github-oidc = deny
/api/analytics/payment-gate | plain | POST | oauth2-proxy = deny
/api/analytics/payment-gate | plain | POST | per-key-other-ns = deny
/api/analytics/payment-gate | plain | POST | per-key-owned-ns = deny
/api/analytics/payment-gate | plain | POST | spa = allow
/api/analytics/payment-gate | plain | POST | user-key = deny
/api/analytics/payment-gate | plain | POST | user-key-verified = deny
/api/analytics/payment-gate | plain | QUERY | admin-spa = deny
/api/analytics/payment-gate | plain | QUERY | cua-cli = deny
/api/analytics/payment-gate | plain | QUERY | dcr-client = deny
/api/analytics/payment-gate | plain | QUERY | empty-sub = deny
/api/analytics/payment-gate | plain | QUERY | github-oidc = deny
/api/analytics/payment-gate | plain | QUERY | oauth2-proxy = deny
/api/analytics/payment-gate | plain | QUERY | per-key-other-ns = deny
/api/analytics/payment-gate | plain | QUERY | per-key-owned-ns = deny
/api/analytics/payment-gate | plain | QUERY | spa = deny
/api/analytics/payment-gate | plain | QUERY | user-key = deny
/api/analytics/payment-gate | plain | QUERY | user-key-verified = deny
/api/analytics/session | plain | DELETE | admin-spa = allow
/api/analytics/session | plain | DELETE | cua-cli = deny
/api/analytics/session | plain | DELETE | dcr-client = deny
/api/analytics/session | plain | DELETE | empty-sub = deny
/api/analytics/session | plain | DELETE | github-oidc = deny
/api/analytics/session | plain | DELETE | oauth2-proxy = deny
/api/analytics/session | plain | DELETE | per-key-other-ns = deny
/api/analytics/session | plain | DELETE | per-key-owned-ns = deny
/api/analytics/session | plain | DELETE | spa = allow
/api/analytics/session | plain | DELETE | user-key = deny
/api/analytics/session | plain | DELETE | user-key-verified = deny
/api/analytics/session | plain | GET | admin-spa = allow
/api/analytics/session | plain | GET | cua-cli = deny
/api/analytics/session | plain | GET | dcr-client = deny
/api/analytics/session | plain | GET | empty-sub = deny
/api/analytics/session | plain | GET | github-oidc = deny
/api/analytics/session | plain | GET | oauth2-proxy = deny
/api/analytics/session | plain | GET | per-key-other-ns = deny
/api/analytics/session | plain | GET | per-key-owned-ns = deny
/api/analytics/session | plain | GET | spa = allow
/api/analytics/session | plain | GET | user-key = deny
/api/analytics/session | plain | GET | user-key-verified = deny
/api/analytics/session | plain | PATCH | admin-spa = allow
/api/analytics/session | plain | PATCH | cua-cli = deny
/api/analytics/session | plain | PATCH | dcr-client = deny
/api/analytics/session | plain | PATCH | empty-sub = deny
/api/analytics/session | plain | PATCH | github-oidc = deny
/api/analytics/session | plain | PATCH | oauth2-proxy = deny
/api/analytics/session | plain | PATCH | per-key-other-ns = deny
/api/analytics/session | plain | PATCH | per-key-owned-ns = deny
/api/analytics/session | plain | PATCH | spa = allow
/api/analytics/session | plain | PATCH | user-key = deny
/api/analytics/session | plain | PATCH | user-key-verified = deny
/api/analytics/session | plain | POST | admin-spa = allow
/api/analytics/session | plain | POST | cua-cli = deny
/api/analytics/session | plain | POST | dcr-client = deny
/api/analytics/session | plain | POST | empty-sub = deny
/api/analytics/session | plain | POST | github-oidc = deny
/api/analytics/session | plain | POST | oauth2-proxy = deny
/api/analytics/session | plain | POST | per-key-other-ns = deny
/api/analytics/session | plain | POST | per-key-owned-ns = deny
/api/analytics/session | plain | POST | spa = allow
/api/analytics/session | plain | POST | user-key = deny
/api/analytics/session | plain | POST | user-key-verified = deny
/api/analytics/session | plain | QUERY | admin-spa = allow
/api/analytics/session | plain | QUERY | cua-cli = deny
/api/analytics/session | plain | QUERY | dcr-client = deny
/api/analytics/session | plain | QUERY | empty-sub = deny
/api/analytics/session | plain | QUERY | github-oidc = deny
/api/analytics/session | plain | QUERY | oauth2-proxy = deny
/api/analytics/session | plain | QUERY | per-key-other-ns = deny
/api/analytics/session | plain | QUERY | per-key-owned-ns = deny
/api/analytics/session | plain | QUERY | spa = allow
/api/analytics/session | plain | QUERY | user-key = deny
/api/analytics/session | plain | QUERY | user-key-verified = deny
/api/billing/portal-session | plain | DELETE | admin-spa = allow
/api/billing/portal-session | plain | DELETE | cua-cli = deny
/api/billing/portal-session | plain | DELETE | dcr-client = deny
/api/billing/portal-session | plain | DELETE | empty-sub = deny
/api/billing/portal-session | plain | DELETE | github-oidc = deny
/api/billing/portal-session | plain | DELETE | oauth2-proxy = deny
/api/billing/portal-session | plain | DELETE | per-key-other-ns = deny
/api/billing/portal-session | plain | DELETE | per-key-owned-ns = deny
/api/billing/portal-session | plain | DELETE | spa = allow
/api/billing/portal-session | plain | DELETE | user-key = deny
/api/billing/portal-session | plain | DELETE | user-key-verified = deny
/api/billing/portal-session | plain | GET | admin-spa = allow
/api/billing/portal-session | plain | GET | cua-cli = deny
/api/billing/portal-session | plain | GET | dcr-client = deny
/api/billing/portal-session | plain | GET | empty-sub = deny
/api/billing/portal-session | plain | GET | github-oidc = deny
/api/billing/portal-session | plain | GET | oauth2-proxy = deny
/api/billing/portal-session | plain | GET | per-key-other-ns = deny
/api/billing/portal-session | plain | GET | per-key-owned-ns = deny
/api/billing/portal-session | plain | GET | spa = allow
/api/billing/portal-session | plain | GET | user-key = deny
/api/billing/portal-session | plain | GET | user-key-verified = deny
/api/billing/portal-session | plain | PATCH | admin-spa = allow
/api/billing/portal-session | plain | PATCH | cua-cli = deny
/api/billing/portal-session | plain | PATCH | dcr-client = deny
/api/billing/portal-session | plain | PATCH | empty-sub = deny
/api/billing/portal-session | plain | PATCH | github-oidc = deny
/api/billing/portal-session | plain | PATCH | oauth2-proxy = deny
/api/billing/portal-session | plain | PATCH | per-key-other-ns = deny
/api/billing/portal-session | plain | PATCH | per-key-owned-ns = deny
/api/billing/portal-session | plain | PATCH | spa = allow
/api/billing/portal-session | plain | PATCH | user-key = deny
/api/billing/portal-session | plain | PATCH | user-key-verified = deny
/api/billing/portal-session | plain | POST | admin-spa = allow
/api/billing/portal-session | plain | POST | cua-cli = deny
/api/billing/portal-session | plain | POST | dcr-client = deny
/api/billing/portal-session | plain | POST | empty-sub = deny
/api/billing/portal-session | plain | POST | github-oidc = deny
/api/billing/portal-session | plain | POST | oauth2-proxy = deny
/api/billing/portal-session | plain | POST | per-key-other-ns = deny
/api/billing/portal-session | plain | POST | per-key-owned-ns = deny
/api/billing/portal-session | plain | POST | spa = allow
/api/billing/portal-session | plain | POST | user-key = deny
/api/billing/portal-session | plain | POST | user-key-verified = deny
/api/billing/portal-session | plain | QUERY | admin-spa = allow
/api/billing/portal-session | plain | QUERY | cua-cli = deny
/api/billing/portal-session | plain | QUERY | dcr-client = deny
/api/billing/portal-session | plain | QUERY | empty-sub = deny
/api/billing/portal-session | plain | QUERY | github-oidc = deny
/api/billing/portal-session | plain | QUERY | oauth2-proxy = deny
/api/billing/portal-session | plain | QUERY | per-key-other-ns = deny
/api/billing/portal-session | plain | QUERY | per-key-owned-ns = deny
/api/billing/portal-session | plain | QUERY | spa = allow
/api/billing/portal-session | plain | QUERY | user-key = deny
/api/billing/portal-session | plain | QUERY | user-key-verified = deny
/api/billing/setup-session | plain | DELETE | admin-spa = allow
/api/billing/setup-session | plain | DELETE | cua-cli = deny
/api/billing/setup-session | plain | DELETE | dcr-client = deny
/api/billing/setup-session | plain | DELETE | empty-sub = deny
/api/billing/setup-session | plain | DELETE | github-oidc = deny
/api/billing/setup-session | plain | DELETE | oauth2-proxy = deny
/api/billing/setup-session | plain | DELETE | per-key-other-ns = deny
/api/billing/setup-session | plain | DELETE | per-key-owned-ns = deny
/api/billing/setup-session | plain | DELETE | spa = allow
/api/billing/setup-session | plain | DELETE | user-key = deny
/api/billing/setup-session | plain | DELETE | user-key-verified = deny
/api/billing/setup-session | plain | GET | admin-spa = allow
/api/billing/setup-session | plain | GET | cua-cli = deny
/api/billing/setup-session | plain | GET | dcr-client = deny
/api/billing/setup-session | plain | GET | empty-sub = deny
/api/billing/setup-session | plain | GET | github-oidc = deny
/api/billing/setup-session | plain | GET | oauth2-proxy = deny
/api/billing/setup-session | plain | GET | per-key-other-ns = deny
/api/billing/setup-session | plain | GET | per-key-owned-ns = deny
/api/billing/setup-session | plain | GET | spa = allow
/api/billing/setup-session | plain | GET | user-key = deny
/api/billing/setup-session | plain | GET | user-key-verified = deny
/api/billing/setup-session | plain | PATCH | admin-spa = allow
/api/billing/setup-session | plain | PATCH | cua-cli = deny
/api/billing/setup-session | plain | PATCH | dcr-client = deny
/api/billing/setup-session | plain | PATCH | empty-sub = deny
/api/billing/setup-session | plain | PATCH | github-oidc = deny
/api/billing/setup-session | plain | PATCH | oauth2-proxy = deny
/api/billing/setup-session | plain | PATCH | per-key-other-ns = deny
/api/billing/setup-session | plain | PATCH | per-key-owned-ns = deny
/api/billing/setup-session | plain | PATCH | spa = allow
/api/billing/setup-session | plain | PATCH | user-key = deny
/api/billing/setup-session | plain | PATCH | user-key-verified = deny
/api/billing/setup-session | plain | POST | admin-spa = allow
/api/billing/setup-session | plain | POST | cua-cli = deny
/api/billing/setup-session | plain | POST | dcr-client = deny
/api/billing/setup-session | plain | POST | empty-sub = deny
/api/billing/setup-session | plain | POST | github-oidc = deny
/api/billing/setup-session | plain | POST | oauth2-proxy = deny
/api/billing/setup-session | plain | POST | per-key-other-ns = deny
/api/billing/setup-session | plain | POST | per-key-owned-ns = deny
/api/billing/setup-session | plain | POST | spa = allow
/api/billing/setup-session | plain | POST | user-key = deny
/api/billing/setup-session | plain | POST | user-key-verified = deny
/api/billing/setup-session | plain | QUERY | admin-spa = allow
/api/billing/setup-session | plain | QUERY | cua-cli = deny
/api/billing/setup-session | plain | QUERY | dcr-client = deny
/api/billing/setup-session | plain | QUERY | empty-sub = deny
/api/billing/setup-session | plain | QUERY | github-oidc = deny
/api/billing/setup-session | plain | QUERY | oauth2-proxy = deny
/api/billing/setup-session | plain | QUERY | per-key-other-ns = deny
/api/billing/setup-session | plain | QUERY | per-key-owned-ns = deny
/api/billing/setup-session | plain | QUERY | spa = allow
/api/billing/setup-session | plain | QUERY | user-key = deny
/api/billing/setup-session | plain | QUERY | user-key-verified = deny
/api/billing/setup-session/complete | plain | DELETE | admin-spa = allow
/api/billing/setup-session/complete | plain | DELETE | cua-cli = deny
/api/billing/setup-session/complete | plain | DELETE | dcr-client = deny
/api/billing/setup-session/complete | plain | DELETE | empty-sub = deny
/api/billing/setup-session/complete | plain | DELETE | github-oidc = deny
/api/billing/setup-session/complete | plain | DELETE | oauth2-proxy = deny
/api/billing/setup-session/complete | plain | DELETE | per-key-other-ns = deny
/api/billing/setup-session/complete | plain | DELETE | per-key-owned-ns = deny
/api/billing/setup-session/complete | plain | DELETE | spa = allow
/api/billing/setup-session/complete | plain | DELETE | user-key = deny
/api/billing/setup-session/complete | plain | DELETE | user-key-verified = deny
/api/billing/setup-session/complete | plain | GET | admin-spa = allow
/api/billing/setup-session/complete | plain | GET | cua-cli = deny
/api/billing/setup-session/complete | plain | GET | dcr-client = deny
/api/billing/setup-session/complete | plain | GET | empty-sub = deny
/api/billing/setup-session/complete | plain | GET | github-oidc = deny
/api/billing/setup-session/complete | plain | GET | oauth2-proxy = deny
/api/billing/setup-session/complete | plain | GET | per-key-other-ns = deny
/api/billing/setup-session/complete | plain | GET | per-key-owned-ns = deny
/api/billing/setup-session/complete | plain | GET | spa = allow
/api/billing/setup-session/complete | plain | GET | user-key = deny
/api/billing/setup-session/complete | plain | GET | user-key-verified = deny
/api/billing/setup-session/complete | plain | PATCH | admin-spa = allow
/api/billing/setup-session/complete | plain | PATCH | cua-cli = deny
/api/billing/setup-session/complete | plain | PATCH | dcr-client = deny
/api/billing/setup-session/complete | plain | PATCH | empty-sub = deny
/api/billing/setup-session/complete | plain | PATCH | github-oidc = deny
/api/billing/setup-session/complete | plain | PATCH | oauth2-proxy = deny
/api/billing/setup-session/complete | plain | PATCH | per-key-other-ns = deny
/api/billing/setup-session/complete | plain | PATCH | per-key-owned-ns = deny
/api/billing/setup-session/complete | plain | PATCH | spa = allow
/api/billing/setup-session/complete | plain | PATCH | user-key = deny
/api/billing/setup-session/complete | plain | PATCH | user-key-verified = deny
/api/billing/setup-session/complete | plain | POST | admin-spa = allow
/api/billing/setup-session/complete | plain | POST | cua-cli = deny
/api/billing/setup-session/complete | plain | POST | dcr-client = deny
/api/billing/setup-session/complete | plain | POST | empty-sub = deny
/api/billing/setup-session/complete | plain | POST | github-oidc = deny
/api/billing/setup-session/complete | plain | POST | oauth2-proxy = deny
/api/billing/setup-session/complete | plain | POST | per-key-other-ns = deny
/api/billing/setup-session/complete | plain | POST | per-key-owned-ns = deny
/api/billing/setup-session/complete | plain | POST | spa = allow
/api/billing/setup-session/complete | plain | POST | user-key = deny
/api/billing/setup-session/complete | plain | POST | user-key-verified = deny
/api/billing/setup-session/complete | plain | QUERY | admin-spa = allow
/api/billing/setup-session/complete | plain | QUERY | cua-cli = deny
